subject,question_text,option_a,option_b,option_c,option_d,correct_answer
Mathematics,"Given the current P = I(20-3I), find the maximum current when t = 0s?",10/3 ,3/10,10,3/10,A
Mathematics,Find the time at which the current is maximum if the current is given by i(t) = t e^(-0.5t),1,2,4,0.5,B
Mathematics,"3. ∬R (x+y)dA where the region R is: 0≤x≤2, 0≤y≤3",0,3,5,15,D
Mathematics,The best method to evaluate ∫x^2exdx is:,Substitution,Partial Fractions,Integration by Parts,Trigonometric Substitution,C
Mathematics,The best method to evaluate ∫e^(2x)xdx is,Substitution,Partial Fractions,Integration by Parts (repeated),Trigonometric Substitution,C
Mathematics,What is the relationship between the autocorrelation function and the mean square value of a signal?,"The autocorrelation function at zero lag, Rxx(0), equals the mean square value: Rxx(0) = E[x²(t)].",The zeros are the roots of the numerator polynomial. The number of poles is equal to the order of the denominator polynomial.,"(0, 0, 2x − 2y).","σ²/n, where σ² is the population variance and n is the sample size.",A
Mathematics,What is the definition of the Z-transform for a discrete-time signal x[n]?,Inside the unit circle.,X(z) = Σ(from n=-∞ to ∞) x[n]z^(-n).,"They are used to determine stability, and analyze transient and frequency response.","The system becomes more stable, with a faster transient decay.",B
Mathematics,What is Numerical Differentiation?,The t-test.,"They are used to determine stability, and analyze transient and frequency response.",It is a method that approximates the derivative of a function using discrete data points.,P(A|B) = P(A ∩ B) / P(B).,C
Mathematics,What is Bayes' formula or Bayes' theorem?,A matrix of first-order partial derivatives of a vector-valued function.,"For a system described in state-space form, the poles are the eigenvalues of the system matrix.",Rxx(τ) = (1/2) cos(2πfτ).,P(A|B) = [P(B|A) * P(A)] / P(B).,D
Mathematics,What is the relationship between the poles of a system and its eigenvalues?,Cross-correlation is similar to convolution without the time-reversal of one of the signals.,"For a system described in state-space form, the poles are the eigenvalues of the system matrix.",It is a matrix containing all the first-order partial derivatives of a vector-valued function.,The median is 1 (the middle value when sorted).,B
Mathematics,What is the purpose of a root locus plot?,X(z) = Σ(from n=-∞ to ∞) x[n]z^(-n).,"For a system described in state-space form, the poles are the eigenvalues of the system matrix.","(2, 2, 2).",To determine the stability of a closed-loop control system for different values of a gain parameter.,D
Mathematics,What is the Second Moment of Area?,"It is a geometrical property of a cross-section, also known as the Area Moment of Inertia, which predicts the resistance to bending and deflection.",The t-test.,"σ²/n, where σ² is the population variance and n is the sample size.",Green's Theorem.,A
Mathematics,What is the effect of a system having a transfer function with complex conjugate zeros?,∫∫_S F · dS = ∫∫∫_V (∇ · F) dV. It relates the flux through a closed surface to the divergence within the volume.,If its output at any time depends only on the present and past values of the input.,It can cause a dip or notch in the frequency response magnitude at a specific frequency.,The rate of change of the field quantity in a specified direction.,C
Mathematics,What is the effect of a decrease in step size in numerical differentiation?,It generally decreases truncation error but may increase round-off error due to more computational steps.,"(0, 0, 0).","It is a geometrical property of a cross-section, also known as the Area Moment of Inertia, which predicts the resistance to bending and deflection.",Gauss's Law.,A
Mathematics,"In hypothesis testing, what is the level of significance (α)?",∇V · â.,It becomes narrower.,It can cause a dip or notch in the frequency response magnitude at a specific frequency.,It is the probability of rejecting the null hypothesis when it is actually true (Type I error).,D
Mathematics,How are the zeros and the number of poles of a transfer function determined?,About 50%.,The zeros are the roots of the numerator polynomial. The number of poles is equal to the order of the denominator polynomial.,Cross-correlation is similar to convolution without the time-reversal of one of the signals.,Transient response.,B
Mathematics,What is an Integrating Factor used for?,h(t) * g(t).,It increases.,It is used to solve First Order Linear Differential Equations.,"It occurs when survey participants are unable or unwilling to respond, leading to a biased sample.",C
Mathematics,What is a Jacobian Matrix?,It is a matrix containing all the first-order partial derivatives of a vector-valued function.,P(A|B) = [P(B|A) * P(A)] / P(B).,Fail to reject the null hypothesis.,X(z) = Σ(from n=-∞ to ∞) x[n]z^(-n).,A
Mathematics,What are the roots of the numerator of the closed-loop transfer function called?,∫∫_S F · dS = ∫∫∫_V (∇ · F) dV. It relates the flux through a closed surface to the divergence within the volume.,They are called the zeros of the closed-loop system.,The F-test.,A straight line segment (linear approximation).,B
Mathematics,Which statement is TRUE about conditional probability?,The General Solution.,The sum of the squared residuals (errors).,"P(A|B) = P(A ∩ B) / P(B), provided P(B) > 0.","It occurs when survey participants are unable or unwilling to respond, leading to a biased sample.",C
Mathematics,Which of the following is TRUE for independent events A and B?,1/n.,The Diffusion Equation or Heat Equation.,"Steady-state potential fields, such as in electrostatics or fluid flow.",P(A ∩ B) = P(A) × P(B).,D
Mathematics,Which of the following is an example of the complement rule?,It becomes wider.,P(A') = 1 − P(A).,Underdamped.,"X(z) = 1 / (1 − az⁻¹), for |z| > |a|.",B
Mathematics,What is the formula for the probability of event A or B occurring?,0.,The zeros are the roots of the numerator polynomial. The number of poles is equal to the order of the denominator polynomial.,"The autocorrelation function at zero lag, Rxx(0), equals the mean square value: Rxx(0) = E[x²(t)].",P(A ∪ B) = P(A) + P(B) − P(A ∩ B).,D
Mathematics,What type of equation is ∂²u/∂x² + ∂²u/∂y² = 0?,Laplace's Equation.,Chebyshev's Inequality.,"P(A|B) = P(A ∩ B) / P(B), provided P(B) > 0.",An odd function.,A
Mathematics,What statistical method is used for comparing the means of two groups?,"The autocorrelation function at zero lag, Rxx(0), equals the mean square value: Rxx(0) = E[x²(t)].",Exponential functions.,The t-test.,When the direction is parallel to the gradient vector.,C
Mathematics,What is the unit impulse response of a system?,It is the output y(t) of a system when the input is a unit impulse δ(t) and all initial conditions are zero.,Time reversal.,G(s) / [1 + G(s)H(s)].,"It causes a decaying exponential response, leading to stability.",A
Mathematics,"If events A and B are mutually exclusive, which of the following is TRUE?",The Z-transform.,It generally increases the probability of a Type II error.,The poles of the system's transfer function.,P(A ∩ B) = 0.,D
Mathematics,"In hypothesis testing, what happens when the probability of a Type I error is decreased?",Linear approximation.,It generally increases the probability of a Type II error.,"The system becomes more stable, with a faster transient decay.","(0, 0, 0).",B
Mathematics,What test statistic is used in Analysis of Variance (ANOVA)?,It relates the flux of a vector field through a closed surface to the divergence of that field within the enclosed volume.,"∇Φ = (∂Φ/∂x, ∂Φ/∂y, ∂Φ/∂z).",The F-statistic.,Mean Square Between Groups (Treatment) divided by Mean Square Within Groups (Error).,C
Mathematics,What type of equation is ∂u/∂t − k∂²u/∂x² = 0?,The Diffusion Equation or Heat Equation.,Mean Square Between Groups (Treatment) divided by Mean Square Within Groups (Error).,Area Moment of Inertia.,Truncation error.,A
Mathematics,What allows for a complex plane representation of a digital signal or system using poles and zeros?,"∇Φ = (∂Φ/∂x, ∂Φ/∂y, ∂Φ/∂z).",The Z-transform.,The Curl Theorem.,It decreases.,B
Mathematics,What is the derivative of f(x)=x^n?,It increases.,The Superposition Principle.,f'(x) = nx^(n−1).,P(A ∪ B) = P(A) + P(B) − P(A ∩ B).,C
Mathematics,What is the Z-transform of the sequence a^n u[n]?,"The autocorrelation function at zero lag, Rxx(0), equals the mean square value: Rxx(0) = E[x²(t)].",P(A') = 1 − P(A).,When the direction is parallel to the gradient vector.,"X(z) = 1 / (1 − az⁻¹), for |z| > |a|.",D
Mathematics,What is the relationship between cross-correlation and convolution?,"P(A|B) = P(A ∩ B) / P(B), provided P(B) > 0.",Cross-correlation is similar to convolution without the time-reversal of one of the signals.,It generally increases the probability of a Type II error.,The Linearity Property.,B
Mathematics,"In regression analysis, what does the least squares method minimize?",Truncation error.,"They are used to determine stability, and analyze transient and frequency response.","P(A|B) = P(A ∩ B) / P(B), provided P(B) > 0.",The sum of the squared residuals (errors).,D
Mathematics,What is the geometric representation of the magnitude of the cross product of two vectors?,It represents the area of the parallelogram formed by the two vectors.,They are called the zeros of the closed-loop system.,The variance becomes four times larger (it quadruples).,Chebyshev's Inequality.,A
Mathematics,Which test is used to compare two population variances?,The Linearity Property.,The F-statistic.,The F-test.,"For a system described in state-space form, the poles are the eigenvalues of the system matrix.",C
Mathematics,What is the probability that at least one of two independent events occurs?,P(A ∪ B) = P(A) + P(B) − P(A)P(B).,It is a matrix containing all the first-order partial derivatives of a vector-valued function.,A decaying response.,It becomes wider.,A
Mathematics,"In continuous-time systems (s-plane), when is a system stable?","X(z) = 1 / (1 − az⁻¹), for |z| > |a|.",About 50%.,It represents the area of the parallelogram formed by the two vectors.,If all poles lie in the left half of the s-plane.,D
Mathematics,"What are forward, backward, and central differences used for?",They are called the zeros of the closed-loop system.,To approximate the derivatives of functions from discrete data.,G(s) / [1 + G(s)H(s)].,A system with 2 poles and no zeros.,B
Mathematics,What property of a PDE is demonstrated if a linear combination of solutions is also a solution?,Area Moment of Inertia.,It is the probability of rejecting the null hypothesis when it is actually true (Type I error).,The Superposition Principle.,The dependent variable and its derivatives appear only to the first power and are not multiplied together.,C
Mathematics,What type of curve does the Trapezoidal rule use to approximate an integral?,A straight line segment (linear approximation).,It gives the maximum theoretical rate for error-free data transmission over a channel with a given bandwidth and signal-to-noise ratio.,"σ²/n, where σ² is the population variance and n is the sample size.","A combination of exponential and constant functions, or more generally, functions whose derivatives are proportional to themselves.",A
Mathematics,What is the convolution of a continuous-time signal x(t) with a shifted impulse δ(t − T)?,When the sample size is too small to detect an actual effect.,x(t − T).,P(A|B) = [P(B|A) * P(A)] / P(B).,Fail to reject the null hypothesis.,B
Mathematics,What is Laplace's equation typically used to model?,Underdamped.,A decaying response.,"Steady-state potential fields, such as in electrostatics or fluid flow.",There is no evidence that the group means are different; they are similar.,C
Mathematics,In which direction from a point does a scalar field increase most rapidly?,Linear approximation.,The median is 1 (the middle value when sorted).,It generally increases the probability of a Type II error.,The direction of the gradient vector at that point.,D
Mathematics,What type of approximation does the Trapezoidal rule use?,Green's Theorem is a special case of Stokes' Theorem in two dimensions.,Linear approximation.,A straight line segment (linear approximation).,It is a method that approximates the derivative of a function using discrete data points.,B
